CustomerID,CreditScore,Age,TenureMonths,Balance,NumOfProducts,HasCreditCard,IsActiveMember,MonthsInactive,DependentCount,EstimatedSalary,Geography,Gender,EducationLevel,MaritalStatus,CustomerChurn
100000,452,25,162,44878,3,0,0,7,1,39792,Germany,Female,Bachelor,Married,No
100001,785,40,26,93999,1,1,1,8,2,53105,Spain,Male,Bachelor,Single,No
100002,698,31,108,22073,4,1,0,4,1,44293,Spain,Female,Bachelor,Single,No
100003,620,73,75,5731,4,1,1,6,3,59750,France,Male,High School,Married,Yes
100004,456,72,147,27312,3,1,1,0,4,52167,Germany,Male,PhD,Single,Yes
100005,421,44,64,64933,2,1,1,10,0,60360,Germany,Male,PhD,Single,No
100006,538,71,176,5675,2,1,1,7,3,58142,France,Female,High School,Divorced,Yes
100007,370,46,108,11537,2,1,1,2,3,95305,Germany,Male,High School,Married,No
100008,452,56,128,7982,3,1,1,0,2,32276,Spain,Female,High School,Single,No
100009,471,70,9,79715,4,1,1,5,1,56253,Spain,Female,Master,Married,No
100010,816,56,46,3248,1,1,1,7,0,37846,Spain,Male,Master,Single,No
100011,564,18,122,58012,3,1,1,10,0,50339,Germany,Male,Bachelor,Married,Yes
100012,680,34,58,22821,2,0,1,2,1,43660,Spain,Female,Master,Single,No
100013,808,58,95,70487,2,1,1,0,4,72779,Spain,Female,Bachelor,Married,No
100014,437,47,102,166747,1,0,0,2,1,30522,Germany,Male,Bachelor,Single,Yes
100015,722,70,123,6083,3,1,1,4,4,75616,France,Male,Bachelor,Single,No
100016,449,30,85,18872,2,1,1,10,0,70594,Spain,Male,High School,Married,No
100017,709,38,145,83070,3,1,1,7,2,101108,Spain,Male,High School,Married,No
100018,501,36,111,15473,4,0,1,8,3,96060,Germany,Male,Bachelor,Married,Yes
100019,480,70,173,12111,3,0,0,11,0,44042,Germany,Female,High School,Married,No
100020,499,36,159,87257,4,1,0,8,0,84737,France,Female,High School,Married,No
100021,658,74,26,217458,1,0,1,3,0,53513,Spain,Female,High School,Married,No
100022,607,42,17,40696,4,1,0,7,3,66089,Spain,Male,Bachelor,Married,No
100023,693,39,166,16290,4,1,0,10,4,94402,Germany,Male,PhD,Single,Yes
100024,841,48,176,25422,1,1,1,4,2,44836,France,Male,Master,Married,No
100025,763,34,81,9324,2,1,0,2,2,61119,Spain,Male,Bachelor,Married,Yes
100026,643,72,171,71751,1,1,0,4,2,21052,Spain,Female,Master,Divorced,No
100027,735,40,71,74245,3,1,0,1,4,77759,Spain,Female,Bachelor,Married,No
100028,541,49,53,104021,1,0,1,10,1,102053,Spain,Female,High School,Married,No
100029,793,27,161,1348,3,1,0,10,1,71465,Germany,Female,Bachelor,Married,No
100030,626,27,70,41275,2,1,0,10,2,87362,Spain,Male,High School,Single,No
100031,510,53,163,12056,3,0,1,5,0,82839,Germany,Female,Bachelor,Divorced,Yes
100032,809,25,145,20843,1,0,0,0,0,45868,Spain,Male,High School,Single,No
100033,663,71,37,76846,1,0,1,5,3,66484,France,Female,Master,Single,No
100034,371,69,136,10662,2,1,0,4,1,69878,Spain,Female,High School,Single,Yes
100035,602,37,178,50853,1,1,1,8,0,36672,Spain,Male,High School,Married,No
100036,585,49,34,53148,2,1,1,6,2,88893,Germany,Male,PhD,Single,No
100037,694,67,81,154058,2,1,1,5,3,49906,Germany,Male,High School,Single,No
100038,398,31,132,74619,1,1,0,10,1,55664,France,Male,Bachelor,Married,No
100039,824,67,141,81389,4,1,0,11,3,54727,Spain,Female,High School,Married,No
100040,408,45,157,37922,3,1,1,6,0,60750,Spain,Male,High School,Married,Yes
100041,519,63,3,10338,4,1,0,9,2,118594,Spain,Female,Bachelor,Single,No
100042,825,69,166,27718,2,1,1,4,2,47869,France,Female,Bachelor,Single,No
100043,537,70,152,39869,3,1,0,0,2,29083,Germany,Female,High School,Single,No
100044,813,41,155,56725,4,1,1,8,0,63272,Germany,Female,Master,Married,Yes
100045,620,32,149,46788,1,0,1,4,4,42740,Germany,Male,Bachelor,Single,No
100046,539,39,158,25042,4,1,1,3,2,51828,France,Male,High School,Single,No
100047,795,47,22,15416,3,0,0,5,4,72397,Spain,Female,High School,Married,Yes
100048,524,21,47,9210,3,0,0,4,2,38249,France,Female,Master,Married,Yes
100049,795,30,147,59183,3,1,1,0,4,52718,Spain,Male,Bachelor,Single,No
100050,400,40,124,51838,3,1,1,1,1,65859,France,Male,High School,Married,No
100051,713,25,165,58137,4,1,0,3,1,44433,France,Female,High School,Single,No
100052,404,35,54,23303,1,1,1,7,2,59209,France,Female,High School,Single,No
100053,593,29,67,15218,1,1,0,4,3,65848,France,Female,High School,Single,Yes
100054,669,72,87,71298,3,1,1,6,3,57674,Spain,Male,High School,Married,No
100055,480,48,0,74283,1,1,0,1,0,63139,France,Male,PhD,Married,Yes
100056,834,31,134,30405,4,1,1,7,1,67137,Germany,Female,Master,Married,No
100057,656,51,94,47325,1,0,1,4,1,46535,Spain,Female,Master,Married,Yes
100058,484,35,139,23382,2,1,1,3,3,30636,Spain,Female,High School,Married,Yes
100059,370,73,105,60524,1,1,1,8,2,39289,France,Female,High School,Single,No
100060,678,51,132,90310,3,0,0,5,0,36037,Germany,Female,High School,Married,Yes
100061,516,28,107,58275,1,1,1,3,1,84649,Germany,Female,Bachelor,Married,No
100062,623,58,177,35932,1,0,1,7,0,25280,Germany,Male,High School,Married,No
100063,737,29,41,30685,1,0,1,2,1,72562,Germany,Male,High School,Single,No
100064,438,66,101,51406,1,1,1,9,4,46309,Spain,Male,High School,Married,Yes
100065,665,32,123,56942,2,1,1,1,4,80708,Germany,Male,Master,Married,No
100066,363,74,139,40905,4,1,0,6,0,51559,France,Male,Bachelor,Married,No
100067,591,48,102,49034,3,1,1,11,3,60620,France,Female,High School,Married,No
100068,614,66,145,5079,3,1,0,3,3,70348,Spain,Male,Master,Married,Yes
100069,695,46,73,151584,1,1,1,3,1,85085,Germany,Female,Master,Married,No
100070,402,43,107,78217,4,1,1,9,4,48598,France,Male,High School,Married,No
100071,735,35,121,23414,1,0,0,8,4,47671,Germany,Female,High School,Married,No
100072,689,49,16,41370,2,1,1,1,0,70227,Germany,Female,Master,Divorced,No
100073,441,39,70,2424,4,1,0,0,0,28260,France,Female,High School,Divorced,No
100074,716,55,61,2105,4,1,0,6,3,25649,France,Female,Master,Married,No
100075,793,34,40,14437,4,1,1,11,3,67339,Germany,Male,High School,Single,No
100076,804,40,118,58511,4,1,1,7,3,73384,France,Male,Bachelor,Single,No
100077,777,41,161,95577,1,0,0,2,2,66676,Germany,Male,High School,Divorced,Yes
100078,613,67,44,40957,2,1,1,1,4,58047,Spain,Female,Bachelor,Single,No
100079,780,25,57,37979,4,1,1,3,4,49231,France,Female,PhD,Single,No
100080,384,58,178,25734,3,1,0,1,0,91751,Spain,Male,Bachelor,Married,No
100081,555,23,125,8813,3,1,1,11,4,94354,Germany,Female,High School,Single,No
100082,430,22,161,6298,2,0,0,1,0,62152,Spain,Male,High School,Married,Yes
100083,769,61,43,71498,3,1,1,4,2,46325,France,Female,Master,Married,No
100084,399,74,14,131211,1,1,0,9,3,39818,Germany,Female,Master,Single,Yes
100085,709,46,77,30651,1,0,0,4,2,68624,Spain,Female,High School,Married,Yes
100086,737,45,69,53859,2,1,0,7,3,35430,Spain,Female,PhD,Married,No
100087,351,28,177,122937,4,1,0,8,3,35893,Spain,Male,Bachelor,Married,Yes
100088,739,74,100,4722,3,1,1,1,0,50315,Spain,Female,High School,Single,No
100089,403,18,159,73589,3,0,0,0,3,70144,Germany,Male,Bachelor,Married,No
100090,455,60,2,47962,2,1,0,2,2,89375,France,Female,Bachelor,Married,Yes
100091,609,36,85,45644,2,0,1,5,1,65016,France,Male,Master,Single,No
100092,659,26,73,17304,3,1,1,4,0,69932,Germany,Male,High School,Married,No
100093,826,44,50,57584,4,0,0,7,3,79653,Spain,Male,Master,Divorced,No
100094,540,51,66,79188,2,0,1,7,3,77788,France,Female,Master,Married,No
100095,751,61,75,5988,1,1,0,1,4,48961,Spain,Male,Bachelor,Married,Yes
100096,567,21,92,38127,3,0,1,8,0,77424,France,Male,High School,Married,No
100097,393,53,175,5338,2,1,0,3,0,80636,France,Female,PhD,Single,Yes
100098,511,35,144,103011,2,1,1,0,2,66214,Germany,Male,Bachelor,Single,No
100099,551,32,6,35427,2,1,1,1,1,62730,Germany,Female,Master,Single,No
100100,795,68,12,82504,3,1,0,10,2,71989,Spain,Male,High School,Single,No
100101,833,30,119,22950,1,1,1,5,2,69900,Spain,Male,PhD,Married,Yes
100102,619,36,65,6681,1,1,1,4,2,22740,France,Male,Master,Single,No
